vpothuri,"{""attempts"": 1, ""seed"": 1, ""done"": true, ""student_answers"": {""1154587fbd794d988508208790d1f651_3_1"": ""choice_3"", ""1154587fbd794d988508208790d1f651_8_1"": ""choice_2"", ""1154587fbd794d988508208790d1f651_11_1"": [""choice_3""], ""1154587fbd794d988508208790d1f651_12_1"": ""choice_1"", ""1154587fbd794d988508208790d1f651_4_1"": [""choice_0"", ""choice_1"", ""choice_2""], ""1154587fbd794d988508208790d1f651_10_1"": [""choice_1"", ""choice_4""], ""1154587fbd794d988508208790d1f651_6_1"": [""choice_0"", ""choice_3"", ""choice_4""], ""1154587fbd794d988508208790d1f651_5_1"": ""choice_3"", ""1154587fbd794d988508208790d1f651_14_1"": ""choice_3"", ""1154587fbd794d988508208790d1f651_9_1"": [""choice_0"", ""choice_1"", ""choice_2""], ""1154587fbd794d988508208790d1f651_7_1"": [""choice_1"", ""choice_4""], ""1154587fbd794d988508208790d1f651_13_1"": ""choice_1"", ""1154587fbd794d988508208790d1f651_2_1"": ""choice_0""}}"
nathanaelji,"{""attempts"": 1, ""seed"": 1, ""done"": true, ""student_answers"": {""1154587fbd794d988508208790d1f651_3_1"": ""choice_3"", ""1154587fbd794d988508208790d1f651_10_1"": [""choice_1""], ""1154587fbd794d988508208790d1f651_11_1"": [""choice_1"", ""choice_3""], ""1154587fbd794d988508208790d1f651_12_1"": ""choice_4"", ""1154587fbd794d988508208790d1f651_4_1"": [""choice_2""], ""1154587fbd794d988508208790d1f651_8_1"": ""choice_1"", ""1154587fbd794d988508208790d1f651_6_1"": [""choice_0"", ""choice_3""], ""1154587fbd794d988508208790d1f651_5_1"": ""choice_2"", ""1154587fbd794d988508208790d1f651_14_1"": ""choice_3"", ""1154587fbd794d988508208790d1f651_9_1"": [""choice_0""], ""1154587fbd794d988508208790d1f651_7_1"": [""choice_4""], ""1154587fbd794d988508208790d1f651_13_1"": ""choice_3"", ""1154587fbd794d988508208790d1f651_2_1"": ""choice_0""}}"
jhtam,"{""attempts"": 1, ""seed"": 1, ""done"": true, ""student_answers"": {""1154587fbd794d988508208790d1f651_3_1"": ""choice_3"", ""1154587fbd794d988508208790d1f651_10_1"": [""choice_0""], ""1154587fbd794d988508208790d1f651_11_1"": [""choice_0"", ""choice_1""], ""1154587fbd794d988508208790d1f651_12_1"": ""choice_1"", ""1154587fbd794d988508208790d1f651_4_1"": [""choice_0"", ""choice_2""], ""1154587fbd794d988508208790d1f651_8_1"": ""choice_3"", ""1154587fbd794d988508208790d1f651_6_1"": [""choice_0"", ""choice_3"", ""choice_4""], ""1154587fbd794d988508208790d1f651_5_1"": ""choice_4"", ""1154587fbd794d988508208790d1f651_14_1"": ""choice_3"", ""1154587fbd794d988508208790d1f651_9_1"": [""choice_3""], ""1154587fbd794d988508208790d1f651_7_1"": [""choice_1"", ""choice_4""], ""1154587fbd794d988508208790d1f651_13_1"": ""choice_2"", ""1154587fbd794d988508208790d1f651_2_1"": ""choice_0""}}"
demarest,"{""attempts"": 1, ""seed"": 1, ""done"": true, ""student_answers"": {""1154587fbd794d988508208790d1f651_3_1"": ""choice_3"", ""1154587fbd794d988508208790d1f651_10_1"": [""choice_0"", ""choice_2""], ""1154587fbd794d988508208790d1f651_11_1"": [""choice_3""], ""1154587fbd794d988508208790d1f651_12_1"": ""choice_4"", ""1154587fbd794d988508208790d1f651_4_1"": [""choice_0"", ""choice_2"", ""choice_3""], ""1154587fbd794d988508208790d1f651_8_1"": ""choice_1"", ""1154587fbd794d988508208790d1f651_6_1"": [""choice_3""], ""1154587fbd794d988508208790d1f651_5_1"": ""choice_4"", ""1154587fbd794d988508208790d1f651_14_1"": ""choice_4"", ""1154587fbd794d988508208790d1f651_9_1"": [""choice_2""], ""1154587fbd794d988508208790d1f651_7_1"": [""choice_4""], ""1154587fbd794d988508208790d1f651_13_1"": ""choice_3"", ""1154587fbd794d988508208790d1f651_2_1"": ""choice_0""}"
wolfavi,"{""attempts"": 1, ""seed"": 1, ""done"": true, ""student_answers"": {""1154587fbd794d988508208790d1f651_3_1"": ""choice_3"", ""1154587fbd794d988508208790d1f651_10_1"": [""choice_0"", ""choice_1"", ""choice_4""], ""1154587fbd794d988508208790d1f651_11_1"": [""choice_2""], ""1154587fbd794d988508208790d1f651_12_1"": ""choice_1"", ""1154587fbd794d988508208790d1f651_4_1"": [""choice_0"", ""choice_2""], ""1154587fbd794d988508208790d1f651_8_1"": ""choice_3"", ""1154587fbd794d988508208790d1f651_6_1"": [""choice_0"", ""choice_2"", ""choice_3"", ""choice_4""], ""1154587fbd794d988508208790d1f651_5_1"": ""choice_1"", ""1154587fbd794d988508208790d1f651_14_1"": ""choice_3"", ""1154587fbd794d988508208790d1f651_9_1"": [""choice_0"", ""choice_1""], ""1154587fbd794d988508208790d1f651_7_1"": [""choice_1"", ""choice_4""], ""1154587fbd794d988508208790d1f651_13_1"": ""choice_0"", ""1154587fbd794d988508208790d1f651_2_1"": ""choice_0""}"
oiregbu,"{""attempts"": 1, ""seed"": 1, ""done"": true, ""student_answers"": {""1154587fbd794d988508208790d1f651_3_1"": ""choice_3"", ""1154587fbd794d988508208790d1f651_10_1"": [""choice_0"", ""choice_1"", ""choice_4""], ""1154587fbd794d988508208790d1f651_11_1"": [""choice_1"", ""choice_2"", ""choice_3"", ""choice_4""], ""1154587fbd794d988508208790d1f651_12_1"": ""choice_4"", ""1154587fbd794d988508208790d1f651_4_1"": [""choice_0"", ""choice_1"", ""choice_2"", ""choice_3""], ""1154587fbd794d988508208790d1f651_8_1"": ""choice_3"", ""1154587fbd794d988508208790d1f651_6_1"": [""choice_0"", ""choice_1"", ""choice_2"", ""choice_3"", ""choice_4""], ""1154587fbd794d988508208790d1f651_5_1"": ""choice_4"", ""1154587fbd794d988508208790d1f651_14_1"": ""choice_3"", ""1154587fbd794d988508208790d1f651_9_1"": [""choice_1""], ""1154587fbd794d988508208790d1f651_7_1"": [""choice_0"", ""choice_1""], ""1154587fbd794d988508208790d1f651_13_1"": ""choice_0"", ""1154587fbd794d988508208790d1f651_2_1"": ""choice_0""}"
svy,"{""attempts"": 1, ""seed"": 1, ""done"": true, ""student_answers"": {""1154587fbd794d988508208790d1f651_3_1"": ""choice_3"", ""1154587fbd794d988508208790d1f651_10_1"": [""choice_0"", ""choice_1"", ""choice_2""], ""1154587fbd794d988508208790d1f651_11_1"": [""choice_1""], ""1154587fbd794d988508208790d1f651_12_1"": ""choice_1"", ""1154587fbd794d988508208790d1f651_4_1"": [""choice_2""], ""1154587fbd794d988508208790d1f651_8_1"": ""choice_2"", ""1154587fbd794d988508208790d1f651_6_1"": [""choice_0"", ""choice_3"", ""choice_4""], ""1154587fbd794d988508208790d1f651_5_1"": ""choice_1"", ""1154587fbd794d988508208790d1f651_14_1"": ""choice_0"", ""1154587fbd794d988508208790d1f651_9_1"": [""choice_1""], ""1154587fbd794d988508208790d1f651_7_1"": [""choice_2""], ""1154587fbd794d988508208790d1f651_13_1"": ""choice_3"", ""1154587fbd794d988508208790d1f651_2_1"": ""choice_0""}}"
keenansh2011,"{""attempts"": 1, ""seed"": 1, ""done"": true, ""student_answers"": {""1154587fbd794d988508208790d1f651_3_1"": ""choice_3"", ""1154587fbd794d988508208790d1f651_10_1"": [""choice_0"", ""choice_1"", ""choice_2""], ""1154587fbd794d988508208790d1f651_11_1"": [""choice_1"", ""choice_3"", ""choice_4""], ""1154587fbd794d988508208790d1f651_12_1"": ""choice_1"", ""1154587fbd794d988508208790d1f651_4_1"": [""choice_0"", ""choice_2""], ""1154587fbd794d988508208790d1f651_8_1"": ""choice_0"", ""1154587fbd794d988508208790d1f651_6_1"": [""choice_0"", ""choice_1"", ""choice_2"", ""choice_3"", ""choice_4""], ""1154587fbd794d988508208790d1f651_5_1"": ""choice_4"", ""1154587fbd794d988508208790d1f651_14_1"": ""choice_3"", ""1154587fbd794d988508208790d1f651_9_1"": [""choice_3""], ""1154587fbd794d988508208790d1f651_7_1"": [""choice_0"", ""choice_1"", ""choice_4""], ""1154587fbd794d988508208790d1f651_13_1"": ""choice_2"", ""1154587fbd794d988508208790d1f651_2_1"": ""choice_0""}"
jpayen,"{""attempts"": 1, ""seed"": 1, ""done"": true, ""student_answers"": {""1154587fbd794d988508208790d1f651_3_1"": ""choice_3"", ""1154587fbd794d988508208790d1f651_10_1"": [""choice_0"", ""choice_1"", ""choice_2""], ""1154587fbd794d988508208790d1f651_11_1"": [""choice_0"", ""choice_1"", ""choice_2"", ""choice_3"", ""choice_4""], ""1154587fbd794d988508208790d1f651_12_1"": ""choice_1"", ""1154587fbd794d988508208790d1f651_4_1"": [""choice_1"", ""choice_2"", ""choice_3""], ""1154587fbd794d988508208790d1f651_8_1"": ""choice_2"", ""1154587fbd794d988508208790d1f651_6_1"": [""choice_0"", ""choice_1"", ""choice_2"", ""choice_3"", ""choice_4""], ""1154587fbd794d988508208790d1f651_5_1"": ""choice_2"", ""1154587fbd794d988508208790d1f651_14_1"": ""choice_3"", ""1154587fbd794d988508208790d1f651_9_1"": [""choice_1""], ""1154587fbd794d988508208790d1f651_7_1"": [""choice_0"", ""choice_1"", ""choice_4""], ""1154587fbd794d988508208790d1f651_13_1"": ""choice_1"", ""1154587fbd794d988508208790d1f651_2_1"": ""choice_0""}"
dcioppa,"{""attempts"": 1, ""seed"": 1, ""done"": true, ""student_answers"": {""1154587fbd794d988508208790d1f651_3_1"": ""choice_3"", ""1154587fbd794d988508208790d1f651_10_1"": [""choice_0"", ""choice_1"", ""choice_2"", ""choice_4""], ""1154587fbd794d988508208790d1f651_11_1"": [""choice_0"", ""choice_1"", ""choice_2"", ""choice_4""], ""1154587fbd794d988508208790d1f651_12_1"": ""choice_4"", ""1154587fbd794d988508208790d1f651_4_1"": [""choice_0"", ""choice_1"", ""choice_2"", ""choice_4""], ""1154587fbd794d988508208790d1f651_8_1"": ""choice_2"", ""1154587fbd794d988508208790d1f651_6_1"": [""choice_0"", ""choice_1"", ""choice_2"", ""choice_3"", ""choice_4""], ""1154587fbd794d988508208790d1f651_5_1"": ""choice_1"", ""1154587fbd794d988508208790d1f651_14_1"": ""choice_3"", ""1154587fbd794d988508208790d1f651_9_1"": [""choice_1""], ""1154587fbd794d988508208790d1f651_7_1"": [""choice_0"", ""choice_1"", ""choice_4""], ""1154587fbd794d988508208790d1f651_13_1"": ""choice_1""}"
